StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q8,Q1,Q2,Q3,Q4,Q5,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q19,Q45,Q20,Q21,Q22,Q23,Q24,Q25,Q27,Q28,Q29,Q30,Q31,Q33,Q35,Q36,Q37,Q38
11/4/20 9:04,11/4/20 9:07,IP Address,150.242.172.162,100,184,TRUE,11/4/20 9:07,R_3fGK8fUFK6K0UeK,,,,,28.63270569,77.2197876,anonymous,EN,I have used Online grocery shopping before,24,Male,Professional degree,"$50,000 - $100,000",Employed full time,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree
11/4/20 9:04,11/4/20 9:07,IP Address,70.121.63.14,100,180,TRUE,11/4/20 9:07,R_e5oZGLNQQi5b3fb,,,,,32.96359253,-96.74680328,anonymous,EN,I have used Online grocery shopping before,24,Male,Master's degree,"Less than $25,000",Employed full time,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
11/4/20 9:03,11/4/20 9:09,IP Address,223.229.244.190,100,355,TRUE,11/4/20 9:09,R_2vcPS0xCSViU3T8,,,,,19.07479858,72.88560486,anonymous,EN,I have used Online grocery shopping before,25,Male,2 year degree,"$25,000 - $50,000",Employed full time,Agree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Agree,Somewhat agree,Agree,Agree
11/4/20 9:27,11/4/20 9:33,IP Address,49.32.12.145,100,315,TRUE,11/4/20 9:33,R_2zZ7vQKcDSRFP4x,,,,,19.07479858,72.88560486,anonymous,EN,I have used Online grocery shopping before,51,Male,2 year degree,Prefer not to say,Employed part time,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Disagree,Somewhat agree,Somewhat disagree,Strongly agree,Agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Agree,Agree,Agree,Somewhat agree,Somewhat disagree,Agree,Agree
11/4/20 12:11,11/4/20 12:22,IP Address,154.118.59.181,100,610,TRUE,11/4/20 12:22,R_7P5i9BHUUylFsdj,,,,,6.447402954,3.390304565,social,EN,I have used Online grocery shopping before,26,Male,Master's degree,"$50,000 - $100,000",Employed full time,Somewhat agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Disagree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree
11/4/20 14:08,11/4/20 14:16,IP Address,67.11.181.24,100,460,TRUE,11/4/20 14:16,R_1jVtU62sJ31GmNe,,,,,33.19760132,-96.61779785,anonymous,EN,I have used Online grocery shopping before,29,Female,Master's degree,"$50,000 - $100,000",Employed full time,Agree,Neither agree nor disagree,Agree,Disagree,Disagree,Somewhat agree,Agree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Disagree,Disagree,Agree,Somewhat agree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Agree,Agree,Disagree,Strongly agree,Strongly agree
11/4/20 16:07,11/4/20 16:10,IP Address,70.121.63.14,100,171,TRUE,11/4/20 16:10,R_2pQvipmttUInpUE,,,,,32.96359253,-96.74680328,anonymous,EN,I have used Online grocery shopping before,23,Male,2 year degree,"Less than $25,000",Student,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Disagree,Strongly agree,Strongly agree,Somewhat disagree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Disagree
11/4/20 16:10,11/4/20 16:11,IP Address,70.121.63.14,100,13,TRUE,11/4/20 16:11,R_26exGNIxcsr4pJ2,,,,,32.96359253,-96.74680328,anonymous,EN,I have not used Online grocery shopping before,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/4/20 21:13,11/4/20 21:18,IP Address,70.122.211.90,100,313,TRUE,11/4/20 21:18,R_1hSxtGv0kZjgRBH,,,,,33.1177063,-96.67910004,anonymous,EN,I have used Online grocery shopping before,42,Male,Master's degree,"$200,000 and above",Employed full time,Strongly agree,Somewhat agree,Strongly agree,Disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Disagree,Somewhat disagree,Agree,Agree
11/4/20 21:48,11/4/20 23:09,IP Address,76.186.120.77,100,4885,TRUE,11/4/20 23:09,R_2OVDLjog9DbkWTG,,,,,33.03259277,-96.7858963,anonymous,EN,I have used Online grocery shopping before,42,Male,Master's degree,"$100,000 - $200,000",Employed full time,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree
11/5/20 1:36,11/5/20 1:39,IP Address,197.211.53.130,100,164,TRUE,11/5/20 1:39,R_25SmCsxIsIRrhc2,,,,,10,8,anonymous,EN,I have not used Online grocery shopping before,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/5/20 2:33,11/5/20 2:36,IP Address,105.112.112.55,100,140,TRUE,11/5/20 2:36,R_22M4nS8jA2Jjc5U,,,,,9.083297729,7.533294678,anonymous,EN,I have not used Online grocery shopping before,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/5/20 3:45,11/5/20 3:46,IP Address,105.112.117.187,100,41,TRUE,11/5/20 3:46,R_25z0lBZGv2OJ0KB,,,,,9.083297729,7.533294678,anonymous,EN,I have not used Online grocery shopping before,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/5/20 6:17,11/5/20 6:18,IP Address,105.112.45.186,100,62,TRUE,11/5/20 6:18,R_2VsALFCgvZyu3nU,,,,,6.447402954,3.390304565,anonymous,EN,I have not used Online grocery shopping before,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/5/20 9:59,11/5/20 10:05,IP Address,105.112.125.204,100,359,TRUE,11/5/20 10:05,R_3Huxo9MsMwvxduG,,,,,9.180496216,7.17930603,anonymous,EN,I have used Online grocery shopping before,40,Male,4 year degree,"Less than $25,000",Employed full time,Somewhat agree,Somewhat agree,Agree,Disagree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
11/5/20 21:52,11/5/20 21:53,IP Address,75.28.17.188,100,41,TRUE,11/5/20 21:53,R_27g6ldw1Mm50pQ2,,,,,33.19760132,-96.61779785,anonymous,EN,I have not used Online grocery shopping before,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/5/20 21:53,11/5/20 21:59,IP Address,75.28.17.188,100,335,TRUE,11/5/20 21:59,R_1nVhsl7wgPzPcnI,,,,,33.19760132,-96.61779785,anonymous,EN,I have used Online grocery shopping before,43,Male,Master's degree,"$50,000 - $100,000",Student,Somewhat agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree
11/5/20 22:49,11/5/20 22:50,IP Address,99.28.103.120,100,30,TRUE,11/5/20 22:50,R_2rqp55gvRWmWl10,,,,,36.28619385,-95.8227005,anonymous,EN,I have not used Online grocery shopping before,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/6/20 4:46,11/6/20 4:50,IP Address,105.112.72.127,100,241,TRUE,11/6/20 4:50,R_1MQeH3HHJH9rlR6,,,,,6.447402954,3.390304565,anonymous,EN,I have not used Online grocery shopping before,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/6/20 11:43,11/6/20 11:50,IP Address,72.182.167.63,100,408,TRUE,11/6/20 11:50,R_SHu8CFYGq617lap,,,,,32.66090393,-97.03420258,anonymous,EN,I have used Online grocery shopping before,37,Male,Master's degree,"$50,000 - $100,000",Employed full time,Neither agree nor disagree,Agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree
11/6/20 16:49,11/6/20 16:54,IP Address,69.105.145.145,100,331,TRUE,11/6/20 16:54,R_1inFUImUug8kDpB,,,,,33.19760132,-96.61779785,anonymous,EN,I have used Online grocery shopping before,40,Female,Master's degree,"$100,000 - $200,000",Employed full time,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Agree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Disagree,Agree,Strongly agree,Strongly agree
11/7/20 4:49,11/7/20 4:55,IP Address,47.187.110.18,100,348,TRUE,11/7/20 4:55,R_3kMKJvk7fCTgPZZ,,,,,32.96099854,-96.98410034,anonymous,EN,I have used Online grocery shopping before,45,Male,4 year degree,"$50,000 - $100,000",Employed part time,Agree,Agree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree
11/8/20 15:22,11/8/20 15:23,IP Address,67.10.70.186,100,31,TRUE,11/8/20 15:23,R_3GAL7bHDItmbh4b,,,,,33.03909302,-97.07640076,anonymous,EN,I have not used Online grocery shopping before,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/8/20 18:55,11/8/20 18:55,IP Address,75.28.17.188,100,10,TRUE,11/8/20 18:55,R_UH1GWXzYHjSqp8J,,,,,33.19760132,-96.61779785,anonymous,EN,I have not used Online grocery shopping before,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
